TimeStamp,gX,gY,gZ,gUserX,gUserY,gUserZ
20-May-2019 08:19:40.66,0.005997,-0.358994,-0.875031,0.024461,-0.002644,0.061489
20-May-2019 08:19:40.66,-0.016998,-0.369598,-0.888214,0.025288,-0.017671,0.064718
20-May-2019 08:19:40.67,-0.029358,-0.356430,-0.943756,0.025288,-0.017671,0.064718
20-May-2019 08:19:40.69,-0.025497,-0.329407,-0.984634,-0.006750,-0.018648,-0.002803
20-May-2019 08:19:40.70,-0.029480,-0.313538,-0.995163,0.002391,0.009084,-0.044078
20-May-2019 08:19:40.70,-0.048935,-0.269562,-1.045593,0.002391,0.009084,-0.044078
20-May-2019 08:19:40.71,-0.074722,-0.252991,-1.029892,-0.016815,0.075171,-0.107442
20-May-2019 08:19:40.72,-0.071838,-0.285217,-0.996567,-0.016815,0.075171,-0.107442
20-May-2019 08:19:40.73,-0.028625,-0.325821,-0.977020,-0.040640,0.068274,-0.061649
20-May-2019 08:19:40.74,0.015778,-0.356094,-0.950348,0.001156,0.030761,-0.043231
20-May-2019 08:19:40.75,0.036667,-0.379669,-0.925720,0.041835,0.006456,-0.018748
20-May-2019 08:19:40.76,0.029602,-0.408417,-0.920181,0.058202,-0.008745,0.002693
20-May-2019 08:19:40.77,0.015671,-0.441544,-0.911438,0.050203,-0.034830,0.007185
20-May-2019 08:19:40.78,-0.005966,-0.455353,-0.908112,0.035409,-0.062820,0.013861
20-May-2019 08:19:40.79,-0.039062,-0.437775,-0.864487,0.013768,-0.068987,0.014023
20-May-2019 08:19:40.80,-0.022003,-0.445724,-0.840408,-0.019594,-0.049814,0.056984
20-May-2019 08:19:40.81,0.000671,-0.432922,-0.827728,-0.004863,-0.056100,0.080406
20-May-2019 08:19:40.82,0.002991,-0.400543,-0.829407,0.009700,-0.046045,0.094359
20-May-2019 08:19:40.83,-0.007584,-0.355804,-0.854080,0.008278,-0.015176,0.093342
20-May-2019 08:19:40.84,-0.010941,-0.341797,-0.855057,-0.009474,0.023562,0.071164
20-May-2019 08:19:40.85,-0.002411,-0.304611,-0.914413,-0.021318,0.028164,0.073933
20-May-2019 08:19:40.86,-0.015488,-0.271866,-0.954971,-0.014587,0.062848,0.015547
20-May-2019 08:19:40.87,-0.028214,-0.287399,-0.941666,-0.028483,0.089735,-0.022729
20-May-2019 08:19:40.88,-0.005508,-0.314209,-0.941483,-0.041395,0.074069,-0.009374
